Model,MAE,RMSE,MAPE
Naive,1.294770512142857,1.9786489804114646,47.412532655635054
SeasonalNaive,1.0861659325,1.7709388094987295,65.24328420341534
SARIMA,0.9938421138124834,1.4500205284515975,55.2411754638511
RandomForest,0.22547821563219317,0.3722885192085405,10.618855939043996
